,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,mon_yr,notes,event_id_cnty,event_id_no_cnty
49481,Protesters (Nigeria),JAF: Joint Action Front; SPN: Socialist Party Nigeria; Teachers (Nigeria),Gov(Nigeria),,Lagos,2020-09,"On 16 September 2020, members of the Joint Action Force and the Socialist Party of Nigeria, along with teachers staged protests in Yaba (Lagos Mainland LGA, Lagos) over the increase in fuel prices and electricity tariffs. Police intervened and arrested over 30 demonstrators. [size=over 30]",NIG18245,18245
49570,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2020-09,"On 16 September 2020, workers under the aegis of Joint Union of Public Complaints Commission protested at the headquarters of the Public Complaints Commission in Abuja (Abuja Municipal LGA, FCT) over the non-payment of the new national minimum wage and arrears estimated at 17 months. [size=no report]",NIG18235,18235
49963,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2020-09,"On 15 September 2020, dozens of Uber and Bolt drivers staged demonstrations in Abuja (Abuja Municipal LGA, FCT) to protest current Uber and Bolt charges for services, commissions, and proper profiling of users. [size=dozens]",NIG18217,18217
50076,Protesters (Nigeria),Labour Group (Nigeria),,,Bayelsa,2020-09,"On 15 September 2020, commercial tricycle operators demonstrated at the entrance of the state secretariat complex on Mbiama-Yenagoa Road (Yenegoa LGA, Bayelsa) over the alleged killing of their colleague by members of a task force set up by the state ministry of transport. [size=no report]",NIG18234,18234
50086,Protesters (Nigeria),Labour Group (Nigeria),,,Delta,2020-09,"On 15 September 2020, traders at Ogbeogono Market demonstrated at the Government House in Asaba (Oshimili South LGA, Delta) to protest the alleged extortion and intimidation by the Chairman of the Oshimili South Local Government Area. [size=no report]",NIG18220,18220
50269,Protesters (Nigeria),Labour Group (Nigeria),,,Ondo,2020-09,"On 15 September 2020, cleaners employed by the Ondo State Government demonstrated at the office of Governor in Akure (Akure South LGA, Ondo) over the non-payment of their salaries. [size=no report]",NIG18219,18219
50346,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2020-09,"On 15 September 2020, members of Imo State Registered Contractors protested in front of Universal Basic Education Commission (UBEC) in Abuja (Abuja Municipal LGA, FCT) over the non-payment of contracts owed to them by the Imo State Government. [size=no report]",NIG18218,18218
50566,Protesters (Nigeria),Labour Group (Nigeria),,,Abia,2020-09,"On 15 September 2020, tricycle ('keke') operators staged demonstrations in Umuahia (Umuahia North LGA, Abia) over the new policy of the keke public transport union and the alleged extortion and intimidation by task force teams and security personnel. [size=no report]",NIG18233,18233
50970,Protesters (Nigeria),Women (Nigeria),,,Enugu,2020-09,"On 14 September 2020, no fewer than 700 women under the aegis of Enugu North Senatorial District Women Forum protested at the Nsukka Local Government Secretariat (Nsukka LGA, Enugu) over the poor performance of some National Assembly members from the area. [size=no fewer than 700]",NIG18212,18212
51006,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Edo,2020-09,"Around 14 September 2020 (as reported), Agbede youths protested at the Agbede Divisional Police Station (Etsako West LGA, Edo) over the alleged release of a prime suspect who led an attack on PDP members in Agbede. The attack was related to electoral violence. [size=no report]",NIG18203,18203
51466,Protesters (Nigeria),APC: All Progressives Congress,,,Zamfara,2020-09,"On 13 September 2020, prominent APC leaders including the state Chairman of the party protested on the streets of Gusau (Gusau LGA, Zamfara) over the incessant arrest of opposition members and other critics of the PDP-led administration in Zamfara. [size=no report]",NIG18197,18197
52917,Protesters (Nigeria),SPN: Socialist Party Nigeria; NCP: National Conscience Party; Journalists (Nigeria),Gov(Nigeria),,Lagos,2020-09,"On 10 September 2020, members of the Socialist Party of Nigeria and National Conscience Party staged protests in Ikeja (Ikeja, Lagos) over an increase in fuel prices and electricity tariffs. Police intervened and arrested 18 demonstrators, including 4 journalists. [size=at least 18]",NIG18173,18173
53511,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2020-09,"On 9 September 2020, Niger State members of the Peoples Democractic Party staged demonstrations at the party's Presidential Campaign Office in Abuja (Abuja Municipal LGA, FCT) to demand the removal of the Financial Secretary. [size=no report]",NIG18159,18159
53662,Protesters (Nigeria),Labour Group (Nigeria),,,Rivers,2020-09,"Around 9 September 2020 (week of), over 50 concerned youths from Bonny Local Government Area protested at the office of the Bonny Local Content Compliance Committee (Bonny LGA, Rivers) over their alleged exclusion from the multi-billion Naira Nigeria Liquefied Natural Gas (NLNG) Train-7 project. [size=over 50]",NIG18189,18189
53738,Protesters (Nigeria),Labour Group (Nigeria),,,Ogun,2020-09,"Around 9 September 2020 (as reported), members of the Local Government Pensioners Association of Nigeria gathered in Abeokuta (Abeokuta South LGA, Ogun) to protest the non-payment of their outstanding gratuities. [size=no report]",NIG18158,18158
53747,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2020-09,"Around 9 September 2020 (as reported), Uber and Bolt drivers under the Professional E-Hailing Drivers and Private-Owners Association took the streets of Lagos State to protest Uber and Bolt alleged mistreatments. [size=no report]",NIG18165,18165
53896,Protesters (Nigeria),Women (Nigeria),,,Delta,2020-09,"On 8 September 2020, hundreds of women from Ugborodo Community staged a demonstration at Chevron Nigeria Limited (CNL) Escravos Tank Farm in Warri (Warri South LGA, Delta) to protest issues concerning the non-payment of the food supply debt, breach of a Memorandum of Understanding (MoU), and the non-employment of community residents. [size=hundreds]",NIG18155,18155
54045,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2020-09,"On 8 September 2020, demonstrators associated with the Peoples Democratic Party staged protests at the party's national secretariat in Abuja (Abuja Municipal LGA, FCT) over the conduct of party's local government congresses in the state. [size=no report]",NIG18137,18137
54051,Protesters (Nigeria),Labour Group (Nigeria),,,Oyo,2020-09,"On 8 September 2020, scores of traders under the Coalition of Market Groups of Oyo State protested at the Nigeria Union of Journalists (NUJ) Secretariat in Ibadan (Akinyele LGA, Oyo) over the installation of Babaloja of Oyo State by the Olubadan of Ibadan. [size=scores]",NIG18139,18139
57766,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2020-09,"On 1 September 2020, commercial drivers staged protests at the Iyana-Ipaja and Egbeda areas (Alimosho LGA, Lagos) against the alleged harassment and extortion by personnel of the Lagos State Task Force on Environment and Special Offences Unit. [size=no report]",NIG18075,18075
58267,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2020-08,"On 31 August 2020, thousands of local contractors protested at the Federal Ministry of Finance, Budget and National Planning in Abuja (Abuja Municipal LGA, FCT) to demand the release of their outstanding payments. [size=thousands]",NIG18111,18111
60128,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2020-08,"On 27 August 2020, a group of Niger Delta contractors associated with the Presidential Amnesty programme protested in Abuja (Abuja Municipal LGA, FCT), demanding payment for contracts they had executed under the programme. [size=no report]",NIG18040,18040
60231,Protesters (Nigeria),Labour Group (Nigeria),,,Rivers,2020-08,"On 27 August 2020, over 100 workers from the Ahoada West Local Government Area protested at the state House of Assembly in Port Harcourt (Port-Harcourt LGA, Rivers) over their 13 months' unpaid salaries. [size=over 100]",NIG18046,18046
60232,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Bayelsa,2020-08,"On 27 August 2020, supporters of the Peoples Democratic Party staged a protest in Yenagoa (Yenagoa, Bayelsa) against the disqualification of three aspirants for the Central Senatorial bye-election. [size=no report]",NIG18047,18047
61053,Protesters (Nigeria),Farmers (Nigeria),,,Enugu,2020-08,"Around 26 August 2020 (as reported), poultry farmers staged a protest at the Government House in Enugu (Enugu North LGA, Enugu) over multiple taxation and other harsh conditions imposed on them. [size=no report]",NIG18033,18033
64066,Protesters (Nigeria),Students (Nigeria),,,Federal Capital Territory,2020-08,"On 19 August 2020, university students staged demonstrations at the Unity Fountain and the Ministry of Education in Abuja (Abuja Municipal LGA, FCT) to urge the government to reopen schools that were shut down as a result of the government's coronavirus measures. [size=no report]",NIG17969,17969
64404,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2020-08,"On 19 August 2020, Nigerian traders operating in Ghana protested at the Foreign Affairs Ministry in Abuja (Abuja Municipal, FCT) against the locking up of their shops in Ghana. [size=no report]",NIG17968,17968
64682,Protesters (Nigeria),Labour Group (Nigeria),,,Adamawa,2020-08,"Around 18 August 2020, workers of Adama Beverages Ltd staged demonstrations at the main gate of the company in Jimeta (Girei, Adamawa) to protest against alleged maltreatment by the management of the company. [size=no report]",NIG17964,17964
64859,Protesters (Nigeria),Labour Group (Nigeria),,,Akwa Ibom,2020-08,"On 18 August 2020, mini-bus drivers took to the streets of Uyo (Uyo LGA, Akwa Ibom) to protest attempts by the National Union of Road Transport Workers to reintroduce a daily levy in the state. [size=no report]",NIG17967,17967
65181,Protesters (Nigeria),Students (Nigeria),,,Benue,2020-08,"On 17 August 2020, students demonstrated on the streets and at the Government House in Makurdi (Makurdi LGA, Benue) to protest the increasing insecurity in the state by suspected herdsmen. [size=no report]",NIG17954,17954
65586,Protesters (Nigeria),Labour Group (Nigeria),,,Enugu,2020-08,"On 17 August 2020, contractors with the Nigeria National Petroleum Corporation depot protested in Emene (Enugu East LGA, Enugu) over the non-payment of their salaries. [size=no report]",NIG17950,17950
66466,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2020-08,"Around 15 August 2020 (weekend of), about 7,000 Ladipo traders protested in Aguiyi Ironsi (Mushin LGA, Lagos) against the planned take over of the market by the Mushin Local Government. [size=about 7,000]",NIG17935,17935
67563,Protesters (Nigeria),Protestant Christian Group (Nigeria),,,Edo,2020-08,"On 13 August 2020, the Edo State Baptist Youth Conference staged a protest in Benin City (Oredo LGA, Edo) over the killing of 14 innocent Baptist members in Southern Kaduna. [size=no report]",NIG17913,17913
68156,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2020-08,"On 12 August 2020, employees of the Petroleum Ministry marched to the Ministry of Finance headquarters in Abuja (Abuja Municipal LGA) to protest against the newly implemented payroll and personnel system. [size=no report]",NIG17905,17905
68352,Protesters (Nigeria),Labour Group (Nigeria),,,Cross River,2020-08,"On 12 August 2020, Pelican Players associated with the Nigeria Women Football League staged a protest at the governor's office in Calabar (Calabar-Municipal, Cross River) over their 14-month unpaid salaries. [size= no report]",NIG17907,17907
69374,Protesters (Nigeria),Labour Group (Nigeria),,,Rivers,2020-08,"On 10 August 2020, commercial drivers operating between Eleme and Igbo-Etche LGAs took to the streets in Rivers State to protest against harassment and extortion by the police. [size=no report]",NIG17898,17898
69452,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2020-08,"On 10 August 2020, dozens of retirees of the Nigerian Ports Authority staged a protest at the ports' headquarters in Lagos (Lagos Island LGA), demanding their retirement benefits. [size=dozens]",NIG17896,17896
